Individuo,Alumno no. Cuenta,Orden de preferencia,Clave,Nombre de la Materia
55,308321227,4,2033,                   Derivados
55,308321227,3,2049,                   Evaluación de Proyectos
55,308321227,2,2055,                   Series de Tiempo
55,308321227,1,2039,                 Modelos y Simulación
56,308135035,5,2041,  Muestreo 
56,308135035,4,2032,   Análisis de regresión 
56,308135035,3,2048,   Estadística Bayesiana 
56,308135035,2,2039,    Modelos y simulación 
56,308135035,1,2030,   Análisis de datos categóricos 
57,,5,2048,Estadística Bayesiana
57,,4,2039,2 Modelos y simulación 
57,,3,2032,3 Regresión Lineal
57,,2,2031,4 Análisis Multivariado
57,,1,2041,5 Muestreo
58,308151521,5,2041, Muestreo
58,308151521,4,2049,Evaluación de proyectos 
58,308151521,3,2048,Estadística Bayesiana
58,308151521,2,2039,Modelos y simulación
58,308151521,1,2033,Derivados
59,,5,2048,"Estadística Bayesiana ,"
59,,4,2041,Muestreo 
59,,3,2032, Analisis de Regresión 
59,,2,2030, Analisis de Datos Categoricos
59,,1,2031, Analisis Multivariado 
60,411090755,5,2037, investigacion de operaciones II (sugerencia: profesor cruz montes)
60,411090755,4,2049,evaluacion de proyectos
60,411090755,3,2033, derivados
60,411090755,2,2044, analisis de estados financieros
60,411090755,1,2051, finanzas internacionales
61,308335194,5,2037,     Investigación de Operaciones II     
61,308335194,4,2039, Modelos y simulación
61,308335194,3,2033, Derivados                                       
61,308335194,2,2036, Fianzas       
61,308335194,1,2049, Evaluación de Proyectos
62,307163336,5,"2032,00",           An=E1lisis de Regresi=F3n
62,307163336,4,"2039,00",          Modelos y Simulaci=F3n
62,307163336,3,"2044,00",          An=E1lisis de Estados Financieros
62,307163336,2,"2033,00",          Derivados
62,307163336,1,"2051,00",          Finanzas Internacionales
63,307311496,5,"2043,00",
63,307311496,4,"2044,00",
63,307311496,3,"2033,00",
63,307311496,2,"2051,00",
63,307311496,1,"2046,00",
64,307007353,5,"2032,00",     Análisis de Regresión
64,307007353,4,"2039,00",    Modelos y Simulación
64,307007353,3,"2046,00",   Auditoria Actuarial
64,307007353,2,"2048,00",   Estadística Bayesiana 
64,307007353,1,"2053,00",   Procesos Estocásticos II
65,307163336,5,"2032,00",          Anįlisis de Regresión
65,307163336,4,"2039,00",   Modelos y Simulación
65,307163336,3,"2044,00",       Anįlisis de Estados Financieros
65,307163336,2,"2033,00",       Derivados
65,307163336,1,"2051,00",      Finanzas Internacionales
66,30728547-4,5,"2032,00",    Análisis de Regresión
66,30728547-4,4,"2048,00",    Estadística Bayesiana
66,30728547-4,3,"2039,00",    Modelos y Simulación
66,30728547-4,2,"2041,00",    Muestreo
66,30728547-4,1,"2034,00",    Economía Matemática II
67,307094366,5,"2511,00",Investigación de Operaciones II
67,307094366,4,"2613,00",Economía Matemática II
67,307094366,3,"2034,00",Análisis Econométrico
67,307094366,2,"2039,00",Modelos y Simulación
67,307094366,1,"2032,00",Análisis de Regresión
68,410014732,5,2039,Modelos y Simulación
68,410014732,4,2032,Análisi de Regresión
68,410014732,3,2511,Investigación de Operaciones II
68,410014732,2,2613,Economía Matemática II
68,410014732,1,2030,Análisis de Datos Categóricos
69,307089928,5,"2049,00",     Evaluación de proyectos
69,307089928,4,"2041,00",     Muestreo
69,307089928,3,"2037,00",     Investigación de operaciones II
69,307089928,2,"2032,00",     Análisis de regresión 
69,307089928,1,"2039,00",     Modelos y simulación
70,410012941,5,"2032,00",              Anįlisis de Regresión
70,410012941,4,"2039,00",             Modelos y Simulación
70,410012941,3,"2511,00",             Investigación de Operaciones II
70,410012941,2,"2041,00",              Muestreo
70,410012941,1,"2613,00",             Economķa Matemįtica II
71,307093950,5,"2037,00",              Investigación de operaciones II
71,307093951,4,"2032,00",              Análisis de regresión
71,307093952,3,"2039,00",               Modelos y Simulación
71,307093953,2,"2041,00",               Muestreo
71,307093954,1,"2054,00",               Presupuesto de Capital
72,410072956,5,"2037,00",
72,410072957,4,"2032,00",
72,410072958,3,"2031,00",
72,410072959,2,"2039,00",
72,410072960,1,"2055,00",
73,307035664,5,"2039,00",             Modelos y simulaci�n 
73,307035665,4,"2032,00",             An�lisis de regresi�n 
73,307035666,3,"2048,00",             Estad�stica bayesiana
73,307035667,2,"2046,00",             Auditoria actuarial 
73,307035668,1,"2040,00",             Matem�ticas actuariales aplicadas
74,41001557-1,5,"2049,00",           Evaluaci�n de Proyectos
74,41001557-2,4,"2041,00",           Muestreo
74,41001557-3,3,"2037,00",           Investigaci�n de Operaciones II
74,41001557-4,2,"2032,00",           An�lisis de Regresi�n
74,41001557-5,1,"2039,00",           Modelos y Simulaci�n
75,30757240-2,5,2039,Modelos y Simulación
75,30757240-3,4,2032,Análisis de Regresión
75,30757240-4,3,2037,Investigación de operaciones II
75,30757240-5,2,2049,Evaluación de proyectos
75,30757240-6,1,2041,Muestreo
76,307270689,5,2046,auditoria actuarial 
76,307270690,4,2056,seguro de personas 
76,307270691,3,2038, legislación de seguros 
76,307270692,2,2044, análisis de estados financieros
76,307270693,1,2035, finanzas publicas 
77,307632098,5,2037,Investigación de Operaciones II
77,307632099,4,2032,                   Anįlisis de Regresión
77,307632100,3,2039,Modelos y Simulación
77,307632101,2,2051,                Finanzas Internacionales
77,307632102,1,2049,                Evaluación de Proyectos
78,305283041,5,2033,DERIVADOS
78,305283042,4,2046,AUDITORIA ACTUARIAL
78,305283043,3,2032,ANALISIS DE REGRESION
78,305283044,2,2039,MODELOS Y SIMULACION
78,305283045,1,2036,FIANZAS
79,307221148,5,2032,Análisis de regresión
79,307221149,4,2031,. Análisis multivariado
79,307221150,3,2039,. Modelos y simulación 
79,307221151,2,2046,. Auditoria actuarial
79,307221152,1,2033,. Derivados
80,307279565,5,2032,   Análisis de Regresión
80,307279566,4,2039,  Modelos y Simulación
80,307279567,3,2031,Análisis Multivariado
80,307279568,2,2034, Economía Matemática II
80,307279569,1,2037, Investigación de Operaciones
81,307298265,5,2031, Analisis Multivariado
81,307298266,4,2049,  Evaluación de Proyectos
81,307298267,3,2039,  Modelos y Simulación
81,307298268,2,2032, Analisis de Regresión
81,307298269,1,2037, Investigación de Operaciones II
82,30728436-7,5,2031,      An�lisis Multivariado
82,30728436-8,4,2039,    Modelos y Simulaci�n
82,30728436-9,3,2032,      An�lisis de Regresi�n
82,30728436-10,2,2037,      Investigaci�n de Operaciones II
82,30728436-11,1,2041,      Muestreo
83,307212609,5,2032, analisis de regresion
83,307212610,4,2039, modelos y simulacion
83,307212611,3,2040, matematicas actuariales aplicadas
83,307212612,2,2055, series de tiempo
83,307212613,1,2034, economia matematica 2
84,30728696-9,5,2041,Muestreo
84,30728696-10,4,2032,Análisis de Regresión
84,30728696-11,3,2037,Investigación de Operaciones II
84,30728696-12,2,2031,Análisis Multivariado
84,30728696-13,1,2039,Modelos y Simulación
85,307007353,5,2041,Muestreo
85,307007354,4,2039,Modelos y Simulación
85,307007355,3,2049,Evaluación de Proyectos
85,307007356,2,2032,Análisis de Regresión
